warning: deligatured word 'A#ne' has multiple source words: Afflne, Affine; EDIT FILE!
warning: deligatured word 'A#ne' has multiple source words: Afine, {Affine|Afflne}; EDIT FILE!
warning: deligatured word 'Ban#' has multiple source words: Banfi, Banff; EDIT FILE!
warning: deligatured word 'Bene#ts' has multiple source words: Benefits, Beneffits; EDIT FILE!
warning: deligatured word 'Bi#' has multiple source words: Biffl, Biffi; EDIT FILE!
warning: deligatured word 'Bu#' has multiple source words: Bufi, Buff; EDIT FILE!
warning: deligatured word 'Cha#' has multiple source words: Chafi, Chaff; EDIT FILE!
warning: deligatured word 'Cha#n' has multiple source words: Chafin, Chaffin; EDIT FILE!
warning: deligatured word 'Christo#' has multiple source words: Christofi, Christoff; EDIT FILE!
warning: deligatured word 'Cio#' has multiple source words: Ciofi, Cioffi; EDIT FILE!
warning: deligatured word 'Classi#er' has multiple source words: Classifler, Classifier; EDIT FILE!
warning: deligatured word 'Coe#cients' has multiple source words: Coeficients, Coefficients; EDIT FILE!
warning: deligatured word 'Co#no' has multiple source words: Cofino, Coffino; EDIT FILE!
warning: deligatured word 'Di#cult' has multiple source words: Difficult, Diffcult; EDIT FILE!
warning: deligatured word 'Doer#er' has multiple source words: Doerfler, Doerffer; EDIT FILE!
warning: deligatured word 'E#ciency' has multiple source words: Efficiency, Effciency; EDIT FILE!
warning: deligatured word 'E#cient' has multiple source words: Efficient, Effcient; EDIT FILE!
warning: deligatured word 'E#ciently' has multiple source words: Efficiently, Effciently; EDIT FILE!
warning: deligatured word 'E#ecient' has multiple source words: Effiecient, Effecient; EDIT FILE!
warning: deligatured word 'Energy-e#cient' has multiple source words: Energy-eficient, Energy-efficient; EDIT FILE!
warning: deligatured word 'Gra#' has multiple source words: Grafl, Graff; EDIT FILE!
warning: deligatured word 'Gri#' has multiple source words: Griffi, Griff; EDIT FILE!
warning: deligatured word 'Gri#oen' has multiple source words: Griffoen, Griffioen; EDIT FILE!
warning: deligatured word 'Ha#ey' has multiple source words: Hafley, Haffey; EDIT FILE!
warning: deligatured word 'He#er' has multiple source words: Heffler, Heffer; EDIT FILE!
warning: deligatured word 'He#er' has multiple source words: Hefler, {Heffer|Heffler}; EDIT FILE!
warning: deligatured word 'He#ey' has multiple source words: Hefley, Heffley; EDIT FILE!
warning: deligatured word 'Hö#inger' has multiple source words: Höflinger, Höfflinger; EDIT FILE!
warning: deligatured word 'In#nity' has multiple source words: Inflnity, Infinity; EDIT FILE!
warning: deligatured word 'Kna#' has multiple source words: Knafl, Knaff; EDIT FILE!
warning: deligatured word 'Ko#' has multiple source words: Kofi, Koff; EDIT FILE!
warning: deligatured word 'Ko#er' has multiple source words: Kofler, Koffer; EDIT FILE!
warning: deligatured word 'La#tte' has multiple source words: Lafitte, Laffitte; EDIT FILE!
warning: deligatured word 'Lati#' has multiple source words: Latifi, Latiff; EDIT FILE!
warning: deligatured word 'Le#er' has multiple source words: Lefler, Leffler; EDIT FILE!
warning: deligatured word 'Ma#a' has multiple source words: Mafla, Mafia; EDIT FILE!
warning: deligatured word 'O#cial' has multiple source words: Oficial, Official; EDIT FILE!
warning: deligatured word 'O#r' has multiple source words: Ofir, Offir; EDIT FILE!
warning: deligatured word 'Ra#' has multiple source words: Rafi, Raffi; EDIT FILE!
warning: deligatured word 'Recon#gurable' has multiple source words: Reconflgurable, Reconfigurable; EDIT FILE!
warning: deligatured word 'Re#ection' has multiple source words: Reflection, Refiection; EDIT FILE!
warning: deligatured word 'Resource-E#cient' has multiple source words: Resource-Efficient, Resource-Effcient; EDIT FILE!
warning: deligatured word 'Resti#car' has multiple source words: Restificar, Restifficar; EDIT FILE!
warning: deligatured word 'Ri#' has multiple source words: Rifi, Riff; EDIT FILE!
warning: deligatured word 'Ri#e' has multiple source words: Rifle, Riffle; EDIT FILE!
warning: deligatured word 'Ru#er' has multiple source words: Ruffier, Ruffer; EDIT FILE!
warning: deligatured word 'Ru#o' has multiple source words: Ruffo, Rufflo; EDIT FILE!
warning: deligatured word 'Ru#n' has multiple source words: Rufin, Ruffin; EDIT FILE!
warning: deligatured word 'Ru#no' has multiple source words: Rufino, Ruffino; EDIT FILE!
warning: deligatured word 'Rü#er' has multiple source words: Rüffler, Rüffer; EDIT FILE!
warning: deligatured word 'Sa#' has multiple source words: Safi, Saff; EDIT FILE!
warning: deligatured word 'Sa#er' has multiple source words: Safier, Saffer; EDIT FILE!
warning: deligatured word 'Schae#er' has multiple source words: Schaeffler, Schaeffer; EDIT FILE!
warning: deligatured word 'Scha#er' has multiple source words: Schaffler, Schaffer; EDIT FILE!
warning: deligatured word 'Sche#er' has multiple source words: Scheffler, Scheffer; EDIT FILE!
warning: deligatured word 'Schia#no' has multiple source words: Schiafino, Schiaffino; EDIT FILE!
warning: deligatured word 'Schä#er' has multiple source words: Schäffler, Schäffer; EDIT FILE!
warning: deligatured word 'Sey#' has multiple source words: Seyfi, Seyff; EDIT FILE!
warning: deligatured word 'Shari#' has multiple source words: Sharifi, Shariff; EDIT FILE!
warning: deligatured word 'She#er' has multiple source words: Sheffler, Sheffer; EDIT FILE!
warning: deligatured word 'Shi#et' has multiple source words: Shiflet, Shifflet; EDIT FILE!
warning: deligatured word 'Shi#ett' has multiple source words: Shiflett, Shifflett; EDIT FILE!
warning: deligatured word 'So#a' has multiple source words: Sofia, Soffa; EDIT FILE!
warning: deligatured word 'So#e' has multiple source words: Sofie, Soffe; EDIT FILE!
warning: deligatured word 'Ste#' has multiple source words: Steffi, Steff; EDIT FILE!
warning: deligatured word 'Ste#' has multiple source words: Stefi, {Steff|Steffi}; EDIT FILE!
warning: deligatured word 'Sto#er' has multiple source words: Stoffler, Stoffer; EDIT FILE!
warning: deligatured word 'Tari#' has multiple source words: Tariffi, Tariff; EDIT FILE!
warning: deligatured word 'Tra#c' has multiple source words: Traffic, Traffc; EDIT FILE!
warning: deligatured word 'Tra#c' has multiple source words: Trafic, {Traffc|Traffic}; EDIT FILE!
warning: deligatured word 'Tu#s' has multiple source words: Tufis, Tuffs; EDIT FILE!
warning: deligatured word 'A#ne' has multiple source words: Affine, {{Affine|Afflne}|Afine}; EDIT FILE!
warning: deligatured word 'A#eld' has multiple source words: Afield, Affeld; EDIT FILE!
warning: deligatured word 'Ba#es' has multiple source words: Baffles, Baffes; EDIT FILE!
warning: deligatured word 'Ban#' has multiple source words: Banff, {Banff|Banfi}; EDIT FILE!
warning: deligatured word 'Bene#ts' has multiple source words: Benefits, {Beneffits|Benefits}; EDIT FILE!
warning: deligatured word 'Bu#' has multiple source words: Buff, {Buff|Bufi}; EDIT FILE!
warning: deligatured word 'Cha#' has multiple source words: Chaff, {Chaff|Chafi}; EDIT FILE!
warning: deligatured word 'cha#ng' has multiple source words: chafing, chaffing; EDIT FILE!
warning: deligatured word 'Cha#ng' has multiple source words: Chafing, Chaffing; EDIT FILE!
warning: deligatured word 'Classi#er' has multiple source words: Classifier, {Classifier|Classifler}; EDIT FILE!
warning: deligatured word 'Coe#cients' has multiple source words: Coefficients, {Coefficients|Coeficients}; EDIT FILE!
warning: deligatured word 'Co#er' has multiple source words: Coffer, Cofler; EDIT FILE!
warning: deligatured word 'coi#ng' has multiple source words: coifing, coiffing; EDIT FILE!
warning: deligatured word 'Coi#ng' has multiple source words: Coifing, Coiffing; EDIT FILE!
warning: deligatured word 'De#ner' has multiple source words: Definer, Deffner; EDIT FILE!
warning: deligatured word 'De#ect' has multiple source words: Deflect, Deffect; EDIT FILE!
warning: deligatured word 'Di#cult' has multiple source words: Difficult, {Diffcult|Difficult}; EDIT FILE!
warning: deligatured word 'E#ecient' has multiple source words: Effecient, {Effecient|Effiecient}; EDIT FILE!
warning: deligatured word 'E#ciency' has multiple source words: Efficiency, {Effciency|Efficiency}; EDIT FILE!
warning: deligatured word 'E#cient' has multiple source words: Efficient, {Effcient|Efficient}; EDIT FILE!
warning: deligatured word 'E#ciente' has multiple source words: Efficiente, Eficiente; EDIT FILE!
warning: deligatured word 'E#ciently' has multiple source words: Efficiently, {Effciently|Efficiently}; EDIT FILE!
warning: deligatured word 'Energy-e#cient' has multiple source words: Energy-efficient, {Energy-efficient|Energy-eficient}; EDIT FILE!
warning: deligatured word 'Fi#' has multiple source words: Fiff, Fiffi; EDIT FILE!
warning: deligatured word '#at' has multiple source words: flat, fiat; EDIT FILE!
warning: deligatured word '#at's' has multiple source words: flat's, fiat's; EDIT FILE!
warning: deligatured word '#ats' has multiple source words: flats, fiats; EDIT FILE!
warning: deligatured word 'Gri#' has multiple source words: Griff, {Griff|Griffi}; EDIT FILE!
warning: deligatured word 'In#nity' has multiple source words: Infinity, {Infinity|Inflnity}; EDIT FILE!
warning: deligatured word 'Ka#e' has multiple source words: Kaffe, Kafle; EDIT FILE!
warning: deligatured word 'Ko#er' has multiple source words: Kofler, {Koffer|Kofler}; EDIT FILE!
warning: deligatured word 'Le#er' has multiple source words: Leffler, {Leffler|Lefler}; EDIT FILE!
warning: deligatured word 'mu#ed' has multiple source words: muffled, muffed; EDIT FILE!
warning: deligatured word 'Mu#ed' has multiple source words: Muffled, Muffed; EDIT FILE!
warning: deligatured word 'O#' has multiple source words: Off, Offi; EDIT FILE!
warning: deligatured word 'O#cial' has multiple source words: Official, {Official|Oficial}; EDIT FILE!
warning: deligatured word 'pu#er' has multiple source words: puffier, puffer; EDIT FILE!
warning: deligatured word 'Pu#er' has multiple source words: Puffier, Puffer; EDIT FILE!
warning: deligatured word 'Ra#a' has multiple source words: Raffia, Raffa; EDIT FILE!
warning: deligatured word 'Recon#gurable' has multiple source words: Reconfigurable, {Reconfigurable|Reconflgurable}; EDIT FILE!
